wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Alta Floresta D'Oeste,Não,24228,municipio,-61.9998238962936,,110001,Sim,Sim,Sim,Sim,110001,Sim,Sim,publish,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,-11.9355403047646,RO,open,Não,Integrado ao sistema estadual de ensino,Alta Floresta D'Oeste - RO,Sim,Sim,Não
Ariquemes,Não,91570,municipio,-63.0332692780484,,110002,Sim,Sim,Sim,Sim,110002,Sim,Sim,publish,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,-9.9084628665672,RO,open,Sim,Próprio,Ariquemes - RO,Não,Sim,Sim
Cabixi,Não,6221,municipio,-60.5443135812009,,110003,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110003,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-13.4997634596963,RO,open,Não,Integrado ao sistema estadual de ensino,Cabixi - RO,Não,Sim,Não
Cacoal,Não,78959,municipio,-61.4429442118224,,110004,Sim,Sim,Sim,Sim,110004,Sim,Sim,publish,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-11.4338650286852,RO,open,Sim,Próprio,Cacoal - RO,Não,Sim,Sim
Cerejeiras,Não,16939,municipio,-60.8184261646815,,110005,Não,Sim,Não,Não,110005,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,-13.1950330320399,RO,open,Sim,Próprio,Cerejeiras - RO,Sim,Sim,Sim
Colorado do Oeste,Não,18338,municipio,-60.5550674630789,,110006,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110006,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-13.1305638414553,RO,open,Sim,Integrado ao sistema estadual de ensino,Colorado do Oeste - RO,Sim,Sim,Sim
Corumbiara,Não,8655,municipio,-60.9487011706614,,110007,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110007,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-12.9975202364834,RO,open,Não,Integrado ao sistema estadual de ensino,Corumbiara - RO,Sim,Sim,Sim
Costa Marques,Sim,14023,municipio,-64.2316539391172,,110008,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110008,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-12.4360138777142,RO,open,Sim,Próprio,Costa Marques - RO,Não,Sim,Sim
Espigão D'Oeste,Sim,28963,municipio,-61.0201731132847,,110009,Sim,Sim,Não,Sim,110009,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,-11.5285546333473,RO,open,Sim,Integrado ao sistema estadual de ensino,Espigão D'Oeste - RO,Não,Sim,Não
Guajará-Mirim,Sim,41934,municipio,-65.3239518196923,,110010,Sim,Sim,Não,Não,110010,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-10.7738837406705,RO,open,Sim,Próprio,Guajará-Mirim - RO,Não,Sim,Sim
Jaru,Sim,51883,municipio,-62.4762307081317,,110011,Sim,Sim,Sim,Sim,110011,Sim,Sim,publish,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,-10.4359487678844,RO,open,Sim,Integrado ao sistema estadual de ensino,Jaru - RO,Sim,Sim,Sim
Ji-Paraná,Não,117363,municipio,-61.9450945826841,,110012,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110012,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-10.882051318349,RO,open,Sim,Próprio,Ji-Paraná - RO,Não,Não,Não
Machadinho D'Oeste,Não,31780,municipio,-61.9995925724466,,110013,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110013,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-9.42556248,RO,open,Sim,Integrado ao sistema estadual de ensino,Machadinho D'Oeste - RO,Não,Não,Não
Nova Brasilândia D'Oeste,Sim,19883,municipio,-62.308230163019,,110014,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110014,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-11.7213254138559,RO,open,Não,Integrado ao sistema estadual de ensino,Nova Brasilândia D'Oeste - RO,Não,Não,Sim
Ouro Preto do Oeste,Não,37702,municipio,-62.2610551904363,,110015,Sim,Sim,Não,Sim,110015,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-10.7235739008135,RO,open,Sim,Próprio,Ouro Preto do Oeste - RO,Sim,Não,Sim
Pimenta Bueno,Não,33981,municipio,-61.183665673642,,110018,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110018,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-11.67753699,RO,open,Sim,Integrado ao sistema estadual de ensino,Pimenta Bueno - RO,Não,Não,Não
Porto Velho,Sim,435732,municipio,-63.8314456543611,,110020,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110020,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-8.76889179,RO,open,Sim,Próprio,Porto Velho - RO,Sim,Sim,Sim
Presidente Médici,Sim,22009,municipio,-61.9094386835298,,110025,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110025,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-11.1732050162268,RO,open,Sim,Integrado ao sistema estadual de ensino,Presidente Médici - RO,Sim,Sim,Sim
Rio Crespo,Não,3346,municipio,-62.9000103659589,,110026,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110026,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-9.70553670973949,RO,open,Não,Próprio,Rio Crespo - RO,Sim,Não,Não
Rolim de Moura,Sim,50899,municipio,-61.7857809351854,,110028,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110028,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-11.7222589133808,RO,open,Sim,Integrado ao sistema estadual de ensino,Rolim de Moura - RO,Não,Não,Não
Santa Luzia D'Oeste,Sim,8678,municipio,-61.7733054630545,,110029,Não,Sim,Não,Sim,110029,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,-11.908423332469,RO,open,Não,Integrado ao sistema estadual de ensino,Santa Luzia D'Oeste - RO,Não,Não,Não
Vilhena,Sim,77937,municipio,-60.1385838660987,,110030,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110030,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-12.7413734718029,RO,open,Sim,Integrado ao sistema estadual de ensino,Vilhena - RO,Não,Sim,Sim
São Miguel do Guaporé,Sim,21879,municipio,-62.7200634814364,,110032,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110032,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-11.699489743806,RO,open,Não,Integrado ao sistema estadual de ensino,São Miguel do Guaporé - RO,Sim,Sim,Sim
Nova Mamoré,Sim,23143,municipio,-65.3291490231467,,110033,Sim,Sim,Não,Sim,110033,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,-10.4117712947002,RO,open,Sim,Próprio,Nova Mamoré - RO,Não,Não,Não
Alvorada D'Oeste,Não,16625,municipio,-62.2772748656972,,110034,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110034,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-11.3441300234334,RO,open,Sim,Integrado ao sistema estadual de ensino,Alvorada D'Oeste - RO,Sim,Não,Sim
Alto Alegre dos Parecis,Não,12825,municipio,-61.853077168603,,110037,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110037,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-12.1317772245709,RO,open,Sim,Integrado ao sistema estadual de ensino,Alto Alegre dos Parecis - RO,Sim,Sim,Não
Alto Paraíso,Não,17444,municipio,-63.3176294334976,,110040,Sim,Sim,Não,Sim,110040,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-9.71666673807728,RO,open,Não,Próprio,Alto Paraíso - RO,Não,Não,Não
Buritis,Sim,32899,municipio,-63.8296787917565,,110045,Sim,Sim,Não,Não,110045,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-10.2098054072356,RO,open,Sim,Próprio,Buritis - RO,Não,Sim,Sim
Novo Horizonte do Oeste,Sim,10084,municipio,-61.9943876627606,,110050,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110050,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Não,Sim,Sim,-11.7097429200152,RO,open,Não,Integrado ao sistema estadual de ensino,Novo Horizonte do Oeste - RO,Não,Sim,Sim
Cacaulândia,Sim,5764,municipio,-62.9031899345687,,110060,Não,Sim,Não,Não,110060,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-10.3388728393928,RO,open,Sim,Próprio,Cacaulândia - RO,Sim,Sim,Sim
Campo Novo de Rondônia,Não,12758,municipio,-63.6249914265426,,110070,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110070,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-10.5684164693485,RO,open,Não,Integrado ao sistema estadual de ensino,Campo Novo de Rondônia - RO,Não,Sim,Não
Candeias do Jamari,Não,20292,municipio,-63.7000200718298,,110080,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110080,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-8.78502070347748,RO,open,Não,Integrado ao sistema estadual de ensino,Candeias do Jamari - RO,Não,Sim,Sim
Castanheiras,Sim,3527,municipio,-61.9491611964662,,110090,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110090,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-11.4268422254625,RO,open,Não,Integrado ao sistema estadual de ensino,Castanheiras - RO,Não,Não,Não
Chupinguaia,Não,8515,municipio,-60.9018477499554,,110092,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110092,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-12.5568407610938,RO,open,Sim,Integrado ao sistema estadual de ensino,Chupinguaia - RO,Não,Sim,Sim
Cujubim,Não,16570,municipio,-62.5871745319209,,110094,Sim,Sim,Não,Sim,110094,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-9.37819339905712,RO,open,Não,Próprio,Cujubim - RO,Não,Não,Sim
Governador Jorge Teixeira,Sim,10272,municipio,-62.7404576394632,,110100,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110100,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-10.6120717726075,RO,open,Sim,Integrado ao sistema estadual de ensino,Governador Jorge Teixeira - RO,Não,Sim,Não
Itapuã do Oeste,Sim,8700,municipio,-63.1823370165183,,110110,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110110,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-9.19187167532785,RO,open,Não,Próprio,Itapuã do Oeste - RO,Não,Sim,Sim
Ministro Andreazza,Não,10277,municipio,-61.5189219301054,,110120,Não,Não,Não,Não,110120,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,-11.1962379841591,RO,open,Sim,Integrado ao sistema estadual de ensino,Ministro Andreazza - RO,Não,Sim,Sim
Mirante da Serra,Sim,11781,municipio,-62.6694270952566,,110130,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110130,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-11.045609289937,RO,open,Sim,Integrado ao sistema estadual de ensino,Mirante da Serra - RO,Sim,Não,Não
Monte Negro,Não,14204,municipio,-63.2955591672175,,110140,Sim,Sim,Não,Não,110140,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,-10.263097755883,RO,open,Sim,Integrado ao sistema estadual de ensino,Monte Negro - RO,Não,Sim,Não
Nova União,Sim,7437,municipio,-62.55508939888,,110143,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110143,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Não,-10.9155320416628,RO,open,Sim,Integrado ao sistema estadual de ensino,Nova União - RO,Sim,Sim,Sim
Parecis,Sim,4902,municipio,-61.5979979726776,,110145,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110145,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-12.1798270507077,RO,open,Não,Integrado ao sistema estadual de ensino,Parecis - RO,Não,Não,Não
Pimenteiras do Oeste,Não,2299,municipio,-61.0443790025384,,110146,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110146,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-13.4765620024615,RO,open,Não,Integrado ao sistema estadual de ensino,Pimenteiras do Oeste - RO,Sim,Sim,Sim
Primavera de Rondônia,Não,3464,municipio,-61.3165462429165,,110147,Não,Sim,Não,Sim,110147,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,-11.8257069542468,RO,open,Não,Integrado ao sistema estadual de ensino,Primavera de Rondônia - RO,Não,Sim,Sim
São Felipe D'Oeste,Sim,5939,municipio,-61.5125081133327,,110148,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110148,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-11.9143893546886,RO,open,Sim,Próprio,São Felipe D'Oeste - RO,Não,Sim,Sim
São Francisco do Guaporé,Sim,16341,municipio,-63.5708647107649,,110149,Não,Sim,Não,Sim,110149,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,-12.0637984122334,RO,open,Sim,Próprio,São Francisco do Guaporé - RO,Sim,Sim,Sim
Seringueiras,Não,11624,municipio,-63.0387609977072,,110150,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110150,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-11.767116635607,RO,open,Sim,Próprio,Seringueiras - RO,Não,Sim,Sim
Teixeirópolis,Sim,4832,municipio,-62.2559222539546,,110155,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110155,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-10.9321692860399,RO,open,Sim,Integrado ao sistema estadual de ensino,Teixeirópolis - RO,Sim,Sim,Sim
Theobroma,Sim,10612,municipio,-62.3451455299349,,110160,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110160,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-10.2487305520261,RO,open,Não,Integrado ao sistema estadual de ensino,Theobroma - RO,Não,Sim,Sim
Urupá,Sim,12828,municipio,-62.3706324537667,,110170,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110170,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Não,-11.1285452756794,RO,open,Não,Próprio,Urupá - RO,Sim,Não,Não
Vale do Anari,Não,9511,municipio,-62.1768234421278,,110175,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110175,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-9.85139270806179,RO,open,Sim,Próprio,Vale do Anari - RO,Não,Sim,Sim
Vale do Paraíso,Não,8084,municipio,-62.1343903568099,,110180,Não aplicável,Não aplicável,Não aplicável,Não aplicável,110180,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Não,Sim,Não,-10.4310526845565,RO,open,Não,Integrado ao sistema estadual de ensino,Vale do Paraíso - RO,Sim,Não,Não
Acrelândia,Sim,12779,municipio,-67.0523165800206,,120001,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120001,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-10.0737938924635,AC,open,Sim,Integrado ao sistema estadual de ensino,Acrelândia - AC,Não,Sim,Sim
Assis Brasil,Não,6192,municipio,-69.5634591746677,,120005,Sim,Sim,Não,Sim,120005,Sim,Sim,publish,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-10.9428656809172,AC,open,Sim,Próprio,Assis Brasil - AC,Não,Sim,Sim
Brasiléia,Não,21837,municipio,-68.7479434259584,,120010,Sim,Sim,Sim,Sim,120010,Sim,Sim,publish,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-11.0164110190858,AC,open,Sim,Integrado ao sistema estadual de ensino,Brasiléia - AC,Não,Sim,Sim
Bujari,Não,8629,municipio,-67.9518592792015,,120013,Sim,Sim,Não,Sim,120013,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-9.82001962670938,AC,open,Sim,Integrado ao sistema estadual de ensino,Bujari - AC,Não,Sim,Sim
Capixaba,Não,9088,municipio,-67.6735079719432,,120017,Sim,Sim,Não,Sim,120017,Sim,Sim,publish,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-10.5697677087928,AC,open,Sim,Próprio,Capixaba - AC,Não,Sim,Sim
Cruzeiro do Sul,Sim,79174,municipio,-72.6725313174358,,120020,Sim,Sim,Não,Sim,120020,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-7.63069000500981,AC,open,Sim,Próprio,Cruzeiro do Sul - AC,Não,Sim,Sim
Epitaciolândia,Não,15394,municipio,-68.7448680666749,,120025,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120025,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-11.0282398279564,AC,open,Não,Integrado ao sistema estadual de ensino,Epitaciolândia - AC,Sim,Não,Sim
Feijó,Não,32487,municipio,-70.3539836082165,,120030,Sim,Sim,Não,Sim,120030,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-8.16024753,AC,open,Sim,Próprio,Feijó - AC,Sim,Não,Sim
Jordão,Não,6740,municipio,-71.9508751248365,,120032,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120032,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-9.19335785982848,AC,open,Não,Integrado ao sistema estadual de ensino,Jordão - AC,Não,Não,Sim
Mâncio Lima,Não,15554,municipio,-72.9165010261308,,120033,Sim,Sim,Sim,Sim,120033,Sim,Sim,publish,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,-7.59322259385836,AC,open,Sim,Próprio,Mâncio Lima - AC,Não,Sim,Não
Manoel Urbano,Não,8105,municipio,-69.2599445775075,,120034,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120034,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-8.83631773689166,AC,open,Sim,Integrado ao sistema estadual de ensino,Manoel Urbano - AC,Sim,Não,Sim
Marechal Thaumaturgo,Não,14683,municipio,-72.7902659086983,,120035,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120035,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-8.95359112315366,AC,open,Sim,Próprio,Marechal Thaumaturgo - AC,Sim,Sim,Sim
Plácido de Castro,Não,17401,municipio,-67.1882600861516,,120038,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120038,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-10.3351332827427,AC,open,Sim,Integrado ao sistema estadual de ensino,Plácido de Castro - AC,Não,Sim,Sim
Porto Walter,Não,9448,municipio,-72.7423339648033,,120039,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120039,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-8.26666636282753,AC,open,Sim,Integrado ao sistema estadual de ensino,Porto Walter - AC,Não,Não,Não
Rio Branco,Não,342299,municipio,-67.8105287004235,,120040,Sim,Sim,Não,Sim,120040,Sim,Sim,publish,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-9.97829875272498,AC,open,Sim,Próprio,Rio Branco - AC,Não,Sim,Sim
Rodrigues Alves,Não,14832,municipio,-72.6478549141997,,120042,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120042,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-7.73360203372322,AC,open,Sim,Integrado ao sistema estadual de ensino,Rodrigues Alves - AC,Não,Sim,Sim
Santa Rosa do Purus,Não,4879,municipio,-70.4864968937616,,120043,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120043,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-9.44340653741185,AC,open,Sim,Integrado ao sistema estadual de ensino,Santa Rosa do Purus - AC,Sim,Sim,Não
Senador Guiomard,Não,20387,municipio,-67.7431723600051,,120045,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120045,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-10.1481735861989,AC,open,Sim,Integrado ao sistema estadual de ensino,Senador Guiomard - AC,Sim,Sim,Sim
Sena Madureira,Não,38709,municipio,-68.655684061692,,120050,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120050,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-9.065339505,AC,open,Sim,Integrado ao sistema estadual de ensino,Sena Madureira - AC,Sim,Sim,Sim
Tarauacá,Sim,36186,municipio,-70.7555010628937,,120060,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120060,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-8.15566859176562,AC,open,Sim,Próprio,Tarauacá - AC,Não,Sim,Sim
Xapuri,Sim,16370,municipio,-68.5062948050463,,120070,Não aplicável,Não aplicável,Não aplicável,Não aplicável,120070,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-10.6520719403355,AC,open,Não,Integrado ao sistema estadual de ensino,Xapuri - AC,Sim,Sim,Sim
Porto Acre,Não,15213,municipio,-67.5405900835194,,120080,Não,Sim,Não,Sim,120080,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-9.60085823118788,AC,open,Não,Próprio,Porto Acre - AC,Sim,Sim,Sim
Alvarães,Sim,14237,municipio,-64.8135346775686,,130002,Não aplicável,Não aplicável,Não aplicável,Não aplicável,130002,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-3.21658376906639,AM,open,Não,Próprio,Alvarães - AM,Não,Não,Não
Amaturá,Sim,9633,municipio,-68.2096146409404,,130006,Não aplicável,Não aplicável,Não aplicável,Não aplicável,130006,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-3.36680518750561,AM,open,Sim,Integrado ao sistema estadual de ensino,Amaturá - AM,Sim,Sim,Sim
Anamã,Sim,10495,municipio,-61.4059034797501,,130008,Não,Sim,Não,Não,130008,Não,Sim,publish,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,-3.57637042689027,AM,open,Não,Próprio,Anamã - AM,Não,Não,Não
Anori,Não,16701,municipio,-61.6589553828779,,130010,Não aplicável,Não aplicável,Não aplicável,Não aplicável,130010,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-3.74538558611889,AM,open,Não,Integrado ao sistema estadual de ensino,Anori - AM,Não,Não,Sim
Apuí,Não,18326,municipio,-59.8856661047188,,130014,Não aplicável,Não aplicável,Não aplicável,Não aplicável,130014,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-7.1978701516076,AM,open,Sim,Integrado ao sistema estadual de ensino,Apuí - AM,Não,Não,Não
