wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Itaguaí,Não,111171,municipio,-43.7750406349418,,330200,Sim,Sim,Não,Sim,330200,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.871250768422,RJ,open,Sim,Próprio,Itaguaí - RJ,Não,Sim,Sim
Italva,Não,14174,municipio,-41.690964760493,,330205,Sim,Sim,Sim,Sim,330205,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,-21.4251032779829,RJ,open,Sim,Próprio,Italva - RJ,Não,Sim,Sim
Itaocara,Não,22892,municipio,-42.0777295245708,,330210,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330210,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-21.6705026732971,RJ,open,Não,Próprio,Itaocara - RJ,Não,Sim,Sim
Itaperuna,Sim,96542,municipio,-41.8862031766506,,330220,Sim,Sim,Sim,Sim,330220,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-21.2105910847538,RJ,open,Sim,Próprio,Itaperuna - RJ,Não,Sim,Sim
Itatiaia,Não,29094,municipio,-44.562771994177,,330225,Sim,Sim,Não,Sim,330225,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.4970145997172,RJ,open,Sim,Próprio,Itatiaia - RJ,Não,Sim,Sim
Japeri,Não,96430,municipio,-43.6537858009828,,330227,Sim,Sim,Não,Não,330227,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,-22.6448185711114,RJ,open,Sim,Próprio,Japeri - RJ,Sim,Sim,Sim
Laje do Muriaé,Sim,7455,municipio,-42.1311744192347,,330230,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330230,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-21.2057208352488,RJ,open,Não,Próprio,Laje do Muriaé - RJ,Não,Sim,Não
Macaé,Não,212433,municipio,-41.775064285476,,330240,Sim,Sim,Sim,Sim,330240,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.368704974385,RJ,open,Sim,Próprio,Macaé - RJ,Não,Sim,Sim
Macuco,Não,5299,municipio,-42.2570738797263,,330245,Não aplicável,Não aplicável,Não aplicável,Não aplicável,330245,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-21.9902295051434,RJ,open,Não,Próprio,Macuco - RJ,Não,Não,Não
Magé,Não,228972,municipio,-43.0402461327151,,330250,Sim,Sim,Não,Sim,330250,Sim,Sim,publish,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,-22.6543487574334,RJ,open,Sim,Próprio,Magé - RJ,Não,Sim,Sim
Mangaratiba,Não,37343,municipio,-44.0411265453576,,330260,Sim,Sim,Sim,Sim,330260,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,-22.9617119412403,RJ,open,Sim,Próprio,Mangaratiba - RJ,Sim,Sim,Sim
Maricá,Não,131355,municipio,-42.819824114827,,330270,Sim,Sim,Sim,Não,330270,Sim,Sim,publish,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-22.916955337401,RJ,open,Sim,Próprio,Maricá - RJ,Sim,Sim,Sim
Mendes,Sim,17981,municipio,-43.7214868876952,,330280,Sim,Sim,Sim,Sim,330280,Sim,Sim,publish,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.5174226018979,RJ,open,Sim,Próprio,Mendes - RJ,Não,Sim,Sim
Mesquita,Sim,168966,municipio,-43.4292237631069,,330285,Sim,Sim,Não,Não,330285,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,-22.768087922635,RJ,open,Sim,Próprio,Mesquita - RJ,Sim,Sim,Sim
Miguel Pereira,Não,24699,municipio,-43.4746761214594,,330290,Sim,Sim,Não,Sim,330290,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-22.4554266084252,RJ,open,Sim,Próprio,Miguel Pereira - RJ,Não,Sim,Sim
Miracema,Não,26827,municipio,-42.1984114071903,,330300,Sim,Sim,Não,Não,330300,Sim,Sim,publish,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,-21.4111632991603,RJ,open,Sim,Próprio,Miracema - RJ,Não,Sim,Sim
Natividade,Sim,15079,municipio,-41.9764403133446,,330310,Sim,Sim,Sim,Sim,330310,Sim,Sim,publish,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-21.0437569889655,RJ,open,Não,Próprio,Natividade - RJ,Sim,Sim,Sim
Nilópolis,Não,157710,municipio,-43.4166099808637,,330320,Sim,Sim,Não,Sim,330320,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,-22.8075142239115,RJ,open,Sim,Próprio,Nilópolis - RJ,Sim,Sim,Sim
Niterói,Sim,489720,municipio,-43.0758231672735,,330330,Sim,Sim,Não,Sim,330330,Sim,Sim,publish,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,-22.8964523851273,RJ,open,Não,Próprio,Niterói - RJ,Sim,Sim,Sim
Nova Friburgo,Não,182748,municipio,-42.5327712629633,,330340,Sim,Sim,Não,Sim,330340,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-22.2864614591961,RJ,open,Sim,Próprio,Nova Friburgo - RJ,Sim,Sim,Sim
Nova Iguaçu,Não,799047,municipio,-43.4503453299191,,330350,Sim,Sim,Não,Sim,330350,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-22.7598348262648,RJ,open,Sim,Próprio,Nova Iguaçu - RJ,Sim,Sim,Sim
Paracambi,Sim,47635,municipio,-43.7093845630292,,330360,Sim,Sim,Não,Sim,330360,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-22.6097271620663,RJ,open,Sim,Próprio,Paracambi - RJ,Não,Sim,Sim
